protocol,mobile,n_participants,loss,completion_rate,coordinator_decision_rate,partial_delivery_rate,atomicity_violation_rate,avg_deadline_latency,avg_msg_sent
ONE_SHOT,True,5,0.0,0.0,1.0,0.8333333333333334,0.0,80.0,5.0
ONE_SHOT,True,5,0.1,0.3,1.0,0.7,0.0,57.03353644483339,5.0
ONE_SHOT,True,5,0.2,0.16666666666666666,1.0,0.8,0.0,67.23409482684454,5.0
ONE_SHOT,True,5,0.3,0.1,1.0,0.8666666666666667,0.0,72.33826175797908,5.0
ONE_SHOT,True,5,0.4,0.06666666666666667,1.0,0.9,0.0,74.892295715901,5.0
ONE_SHOT,True,8,0.0,0.0,1.0,0.9333333333333333,0.0,80.0,8.0
ONE_SHOT,True,8,0.1,0.1,1.0,0.9,0.0,72.51106945116203,8.0
ONE_SHOT,True,8,0.2,0.03333333333333333,1.0,0.9666666666666667,0.0,77.49930702189691,8.0
ONE_SHOT,True,8,0.3,0.0,1.0,1.0,0.0,80.0,8.0
ONE_SHOT,True,8,0.4,0.0,1.0,1.0,0.0,80.0,8.0
